dno,region_id,d1_score,d2_score,d3_score,d4_score,d5_score,composite_s1,composite_s2,composite_s3,rank_s1,rank_s2,rank_s3
SSEN (Scottish Hydro),1,1.0,0.361675,0.396102,0.0,0.0,0.351555,0.539444,0.283472,12,5,13
SP Distribution,2,0.667214,0.361675,0.35228,0.0,0.002882,0.27681,0.412302,0.225222,14,13,14
Electricity North West,3,0.806611,0.620244,0.842754,0.577385,0.15562,0.600523,0.692495,0.608007,3,2,2
Northern Powergrid (Northeast),4,0.0,0.864707,0.817041,0.664941,0.034582,0.476254,0.457142,0.531031,6,10,3
Northern Powergrid (Yorkshire),5,0.261343,0.864707,0.579872,0.567454,0.285303,0.511736,0.509518,0.526286,5,8,4
SP Manweb,6,0.487374,0.620244,1.0,1.0,0.239193,0.669362,0.649561,0.752022,1,3,1
NGED South Wales,7,0.590844,0.896236,0.704141,0.0,1.0,0.638244,0.70689,0.51389,2,1,6
NGED West Midlands,8,0.671936,0.181541,0.0,0.533628,0.342939,0.346009,0.341538,0.366232,13,14,10
NGED East Midlands,9,0.638267,0.0,0.598775,0.289795,0.510086,0.407385,0.438586,0.393436,10,12,7
UKPN East of England,10,0.563539,0.023056,0.759096,0.145825,0.435159,0.385335,0.443584,0.356121,11,11,12
NGED South West,11,0.345104,0.896236,0.216057,0.186531,0.605187,0.449823,0.468705,0.385476,8,9,9
SSEN (Southern Electric),12,0.318005,1.0,0.477694,0.0,0.420749,0.44329,0.5228,0.356352,9,7,11
UKPN London,13,0.497844,0.984077,0.518406,0.360565,0.458213,0.563821,0.613716,0.520899,4,4,5
UKPN South East,14,0.399918,0.984077,0.387048,0.106192,0.463977,0.468242,0.53446,0.391773,7,6,8
